J1177 = 0.008873212
J1178 = 0.00887155
J1179 = 0.008869895
J1180 = 0.008868246
J1181 = 0.008866603
J1182 = 0.008864966
J1183 = 0.008863336
J1184 = 0.008861711
J1185 = 0.008860093
J1186 = 0.008858481
J1187 = 0.008856875
J1188 = 0.008855275
J1189 = 0.008853681
J1190 = 0.008852093
J1191 = 0.008850511
J1192 = 0.008848935
J1193 = 0.008847365
J1194 = 0.008845801
J1195 = 0.008844243
J1196 = 0.00884269
J1197 = 0.008841144
J1198 = 0.008839603
J1199 = 0.008838069
J1200 = 0.00883654
J1201 = 0.008835017
J1202 = 0.008833499
J1203 = 0.008831988
J1204 = 0.008830482
J1205 = 0.008828982
J1206 = 0.008827487
J1207 = 0.008825998
J1208 = 0.008824515
J1209 = 0.008823038
J1210 = 0.008821566
J1211 = 0.008820099
J1212 = 0.008818639
J1213 = 0.008817183
J1214 = 0.008815734
J1215 = 0.008814289
J1216 = 0.008812851
J1217 = 0.008811418
J1218 = 0.00880999
J1219 = 0.008808568
J1220 = 0.008807151
J1221 = 0.008805739
J1222 = 0.008804333
J1223 = 0.008802932
J1224 = 0.008801537
J1225 = 0.008800147
J1226 = 0.008798762
J1227 = 0.008797383
J1228 = 0.008796008
J1229 = 0.008794639
J1230 = 0.008793276
J1231 = 0.008791917
J1232 = 0.008790564
J1233 = 0.008789215
J1234 = 0.008787872
J1235 = 0.008786534
J1236 = 0.008785202
J1237 = 0.008783874
J1238 = 0.008782551
J1239 = 0.008781234
J1240 = 0.008779921
J1241 = 0.008778614
J1242 = 0.008777311
J1243 = 0.008776014
J1244 = 0.008774721
J1245 = 0.008773434
J1246 = 0.008772151
J1247 = 0.008770874
J1248 = 0.008769601
