J558   = 0.0005375884473323823
J559   = 0.0005375316739082336
J560   = 0.000537470355629921
J561   = 0.0005374126508831978
J562   = 0.0005373476073145866
J563   = 0.0005372943356633187
J564   = 0.0005372419580817223
J565   = 0.0005371802300214767
J566   = 0.0005371182784438133
J567   = 0.0005370629951357841
J568   = 0.0005370024219155311
J569   = 0.0005369461327791214
J570   = 0.0005368892103433609
J571   = 0.000536828264594078
J572   = 0.0005367694050073624
J573   = 0.0005367108061909675
J574   = 0.000536654144525528
J575   = 0.0005365965515375138
J576   = 0.000536537729203701
J577   = 0.0005364840850234032
J578   = 0.0005364198610186577
J579   = 0.0005363637953996658
J580   = 0.000536307878792286
J581   = 0.0005362532287836075
J582   = 0.0005361894145607948
J583   = 0.0005361350253224373
J584   = 0.0005360729992389679
J585   = 0.0005360199138522148
J586   = 0.0005359572172164917
J587   = 0.0005359029397368431
J588   = 0.0005358429998159409
J589   = 0.0005357811599969864
J590   = 0.00053572878241539
J591   = 0.0005356671288609505
J592   = 0.0005356146395206451
J593   = 0.0005355563387274742
J594   = 0.0005354947596788406
J595   = 0.000535438321530819
J596   = 0.0005353773385286332
J597   = 0.0005353215336799622
J598   = 0.0005352649092674256
J599   = 0.0005351997911930084
J600   = 0.0005351438000798226
J601   = 0.0005350910872220994
J602   = 0.000535028874874115
J603   = 0.0005349758267402649
J604   = 0.0005349158123135567
J605   = 0.0005348636582493782
J606   = 0.0005348008126020432
J607   = 0.0005347423255443574
J608   = 0.000534682720899582
J609   = 0.0005346254631876945
J610   = 0.0005345668643712998
J611   = 0.0005345102027058601
J612   = 0.0005344534292817116
J613   = 0.0005343985185027123
J614   = 0.000534345917403698
J615   = 0.0005342793092131615
J616   = 0.0005342236906290055
J617   = 0.0005341648682951927
J618   = 0.0005341101065278053
J619   = 0.0005340482667088508
J620   = 0.0005339973419904709
J621   = 0.0005339330807328224
J622   = 0.0005338769406080246
J623   = 0.0005338206142187119
J624   = 0.000533759668469429
J625   = 0.0005336968228220939
J626   = 0.0005336469411849976
J627   = 0.000533587671816349
J628   = 0.0005335279554128647
J629   = 0.0005334776267409325
J630   = 0.0005334187671542168
J631   = 0.0005333560332655907
J632   = 0.0005332958698272705
J633   = 0.0005332424864172936
J634   = 0.0005331812053918838
J635   = 0.000533125102519989
J636   = 0.0005330679193139077
J637   = 0.0005330171436071396
J638   = 0.0005329528078436851
J639   = 0.0005328939482569695
J640   = 0.0005328357219696045
J641   = 0.0005327775329351425
J642   = 0.0005327244848012925
J643   = 0.00053266491740942
J644   = 0.0005326059460639954
J645   = 0.0005325504019856453
J646   = 0.0005324965715408325
J647   = 0.000532434917986393
J648   = 0.000532374531030655
J649   = 0.0005323255062103272
J650   = 0.0005322617292404175
J651   = 0.0005322052165865898
J652   = 0.0005321430787444115
J653   = 0.0005320888385176659
J654   = 0.0005320292711257934
J655   = 0.0005319786444306373
J656   = 0.0005319198593497276
J657   = 0.0005318580940365792
J658   = 0.0005318008735775947
J659   = 0.0005317412316799164
J660   = 0.0005316876992583275
J661   = 0.000531625896692276
J662   = 0.0005315789580345154
J663   = 0.00053151685744524
J664   = 0.0005314630642533302
J665   = 0.0005313971266150475
J666   = 0.0005313452333211899
J667   = 0.000531284548342228
J668   = 0.000531228594481945
J669   = 0.0005311690643429757
J670   = 0.0005311129987239838
J671   = 0.000531056821346283
J672   = 0.0005310018733143807
J673   = 0.0005309419333934784
J674   = 0.0005308788642287254
J675   = 0.000530824214220047
J676   = 0.0005307660251855851
J677   = 0.00053071528673172
J678   = 0.0005306561291217804
J679   = 0.0005305975675582886
J680   = 0.0005305375158786774
J681   = 0.0005304805934429169
J682   = 0.0005304249748587608
J683   = 0.0005303705856204033
J684   = 0.0005303042382001877
J685   = 0.00053024772554636
J686   = 0.0005301924422383309
J687   = 0.00053013626486063
J688   = 0.0005300809442996978
J689   = 0.0005300203338265419
J690   = 0.0005299634486436844
J691   = 0.0005299055576324463
J692   = 0.0005298486351966858
J693   = 0.0005297984182834625
J694   = 0.0005297352001070976
J695   = 0.000529676377773285
J696   = 0.0005296205356717109
J697   = 0.0005295605212450028
J698   = 0.0005295096710324288
J699   = 0.0005294466763734818
J700   = 0.0005293934047222137
J701   = 0.0005293406173586846
J702   = 0.0005292792618274689
J703   = 0.0005292192474007606
J704   = 0.0005291659384965896
J705   = 0.000529111698269844
J706   = 0.0005290551483631134
J707   = 0.0005289927497506142
J708   = 0.0005289340391755104
J709   = 0.0005288819223642349
J710   = 0.000528823621571064
J711   = 0.000528760626912117
J712   = 0.000528707392513752
J713   = 0.000528649315237999
J714   = 0.0005285938456654549
J715   = 0.0005285348743200302
J716   = 0.0005284799262881279
J717   = 0.0005284235626459122
J718   = 0.0005283648148179054
J719   = 0.0005283069610595703
J720   = 0.0005282481014728546
J721   = 0.0005281960964202881
J722   = 0.000528138317167759
J723   = 0.0005280810967087746
J724   = 0.0005280239880084992
J725   = 0.0005279649049043655
J726   = 0.0005279069021344185
J727   = 0.0005278570577502251
J728   = 0.0005277899652719498
J729   = 0.0005277350917458534
J730   = 0.000527677983045578
J731   = 0.0005276252329349518
J732   = 0.0005275646224617959
J733   = 0.0005275051295757294
J734   = 0.0005274512618780136
J735   = 0.0005273942649364472
J736   = 0.0005273362994194031
J737   = 0.0005272772535681725
J738   = 0.0005272236093878746
J739   = 0.0005271663144230843
J740   = 0.0005271093174815179
J741   = 0.0005270513892173767
J742   = 0.0005269986018538476
J743   = 0.0005269389227032661
J744   = 0.0005268827453255654
J745   = 0.0005268272757530212
J746   = 0.0005267700180411339
J747   = 0.0005267176032066345
J748   = 0.0005266531556844711
J749   = 0.0005265981703996658
J750   = 0.0005265418440103531
J751   = 0.0005264895781874657
J752   = 0.0005264316871762275
J753   = 0.0005263698101043701
J754   = 0.0005263163894414902
J755   = 0.0005262592062354088
J756   = 0.0005261996760964393
J757   = 0.0005261468142271042
J758   = 0.0005260841548442841
J759   = 0.0005260256305336952
J760   = 0.0005259721353650093
J761   = 0.0005259137973189354
J762   = 0.0005258609727025032
J763   = 0.0005258002504706382
J764   = 0.0005257502943277359
J765   = 0.0005256897956132889
J766   = 0.0005256366357207299
J767   = 0.0005255742371082306
J768   = 0.0005255167931318283
J769   = 0.000525459572672844
J770   = 0.0005254019051790237
J771   = 0.0005253490060567856
J772   = 0.0005252861604094505
J773   = 0.0005252344161272049
J774   = 0.0005251776427030564
J775   = 0.0005251238122582436
J776   = 0.0005250630155205727
J777   = 0.000525009073317051
J778   = 0.000524948537349701
J779   = 0.0005248937383294105
J780   = 0.0005248335003852845
J781   = 0.0005247817933559418
J782   = 0.000524723045527935
J783   = 0.0005246677622199058
J784   = 0.0005246111750602722
J785   = 0.0005245516449213028
J786   = 0.0005245014280080795
J787   = 0.0005244414880871773
J788   = 0.0005243823304772377
J789   = 0.0005243268981575966
J790   = 0.000524272583425045
J791   = 0.0005242172256112098
J792   = 0.0005241550132632256
J793   = 0.000524098016321659
J794   = 0.0005240464210510254
J795   = 0.0005239850282669068
J796   = 0.0005239299684762955
J797   = 0.0005238712206482888
J798   = 0.0005238177999854087
J799   = 0.0005237641930580139
J800   = 0.0005237061902880669
J801   = 0.0005236491188406944
J802   = 0.0005235863849520683
J803   = 0.0005235349386930466
J804   = 0.0005234776064753533
J805   = 0.0005234255641698838
J806   = 0.0005233638361096382
J807   = 0.0005233145877718926
J808   = 0.0005232483521103859
J809   = 0.0005231930688023567
J810   = 0.0005231379345059394
J811   = 0.0005230826511979103
J812   = 0.0005230268463492394
J813   = 0.0005229667946696282
